Global Step,Loss
1,6.296706819534302
2,2.9401247024536135
3,2.0909319877624513
4,1.832945418357849
5,1.7917097806930542
6,1.6950330495834351
7,1.6176366567611695
8,1.6213308334350587
9,1.550363826751709
10,1.523431086540222
11,1.5054724931716919
12,1.5124651908874511
13,1.4938523530960084
14,1.4812256813049316
15,1.4347659349441528
16,1.4483723163604736
17,1.4427977085113526
18,1.4441488265991211
19,1.7041835069656373
20,1.4538729906082153
21,1.483097791671753
22,1.3951836347579956
23,1.4465356111526488
24,1.4027174711227417
25,1.4128467798233033
26,1.4082433223724364
27,1.378980040550232
28,1.385643434524536
29,1.383910894393921
30,1.4046496629714966
31,1.4269036769866943
32,1.4045734405517578
33,1.3838953495025634
34,1.3960501432418824
35,1.385008192062378
36,1.384995460510254
